id,name_zh,name_en,category_zh,description_zh,description_en
openai,OpenAI,OpenAI,AI/LLM,生成式語言模型與聊天 API,General-purpose generative language model
anthropic,Anthropic Claude,Claude,AI/LLM,注重安全的語言模型助手,Safety-focused conversational AI
google-gemini,Google Gemini,Gemini,AI/LLM,支援文本與圖像的多模態模型,Multimodal AI by Google
cohere,Cohere,Cohere,AI/LLM,語意生成與檢索 API,Semantic generation and retrieval API
mistral,Mistral AI,Mistral,AI/LLM,高效輕量語言模型,Efficient lightweight language model
huggingface,Hugging Face,HuggingFace,AI/LLM,模型與 API 集合平台,Model and API hub for ML
perplexity,Perplexity AI,Perplexity,AI/LLM,搜尋驅動的對話式 AI,Search-driven conversational AI
llamaindex,LlamaIndex,LlamaIndex,AI/LLM,檢索增強生成框架,Retrieval-augmented generation framework
ollama,Ollama,Ollama,AI/LLM,本地運行輕量 LLM,Run local lightweight LLMs
flowise,Flowise,Flowise,LLM 編排,低程式客製化 AI 流程與代理,Low-code AI flow orchestration
langflow,Langflow,Langflow,LLM 編排,拖放式 AI 工作流程框架,Drag-and-drop LLM workflow builder
dify,Dify.ai,Dify,AI 平台,管理 AI 代理與知識庫,AI app and agent management platform
pipedream,Pipedream,Pipedream,自動化,伺服器無程式化 API 整合,Serverless API integration platform
n8n,n8n,n8n,自動化,開源自動化工作流程平台,Open-source workflow automation
make,Make (Integromat),Make,自動化,視覺化 API 與資料流程,Visual API automation and data flow
zapier,Zapier,Zapier,自動化,Web 應用觸發與動作服務,Automation between web apps
apidog,Apidog,Apidog,API 開發,API 設計、測試與協作工具,API design and testing suite
postman,Postman,Postman,API 開發,API 測試與協作平台,API testing and collaboration
swagger,Swagger.io,Swagger,API 文件,REST API 設計與文件工具,REST API documentation tool
aws-lambda,AWS Lambda,AWS Lambda,雲端計算,無伺服器運行程式碼平台,Serverless compute service
supabase,Supabase,Supabase,資料庫,開源 Firebase 替代方案,Open-source Firebase alternative
airtable,Airtable,Airtable,資料庫/內容,結合試算表與資料庫功能,Spreadsheet meets database
notion,Notion,Notion,知識管理,筆記、資料庫與協作平台,Workspace for notes and databases
retool,Retool,Retool,內部工具,拖放式構建內部應用,Build internal tools quickly
replit,Replit,Replit,開發環境,雲端即時 IDE 與部署,Cloud IDE and hosting
bubble,Bubble.io,Bubble,無程式建構,構建 SaaS/市集的 Web 應用,No-code web app builder
softr,Softr,Softr,無程式建構,將 Airtable/Sheets 轉網站,Turn Airtable data into websites
glide,Glide,Glide,無程式建構,用試算表製作行動應用,Build apps from spreadsheets
webflow,Webflow,Webflow,前端設計,視覺化網站建構與 CMS,Visual web design platform
figma,Figma,Figma,設計,協作式介面設計工具,Collaborative UI design tool
canva,Canva,Canva,設計,在線圖像與影片設計平台,Online design and video platform
midjourney,Midjourney,Midjourney,圖像生成,藝術風格 AI 繪圖,AI art generation tool
runway,Runway,Runway,影像生成,AI 視頻編輯與生成工具,AI video creation platform
stability,Stability AI,Stability AI,圖像生成,開源圖像合成模型,Open-source image synthesis
leonardo,Leonardo.ai,Leonardo,圖像生成,創意藝術生成平台,Creative AI art generation platform
jasper,Jasper,Jasper,AI 寫作,行銷與內容生成助手,Marketing and writing assistant
grammarly,Grammarly,Grammarly,寫作輔助,文法與風格檢查工具,Grammar and style checker
chatpdf,ChatPDF,ChatPDF,文檔問答,對 PDF 提問獲取答案,Chat with PDF content
docgpt,DocGPT,DocGPT,文檔問答,從文件中提取解答,Document-based Q&A assistant
voiceflow,Voiceflow,Voiceflow,對話設計,設計語音機器人原型,Voice and chatbot prototyping
retell,Retell AI,Retell AI,語音,AI 智能電話客服,AI phone support automation
elevenlabs,ElevenLabs,ElevenLabs,語音生成,高品質語音合成,High-quality voice synthesis
vapi,Vapi.ai,Vapi,語音代理,建立語音 AI 助手 API,Voice AI agent API
notta,Notta.ai,Notta,語音轉錄,語音轉錄與摘要,Speech-to-text transcription
assemblyai,AssemblyAI,AssemblyAI,語音辨識,語音轉文字與分析 API,Speech recognition API
salesforce,Salesforce CRM,Salesforce,CRM,客戶關係管理與自動化,Customer relationship management
monday,Monday.com,Monday,專案管理,團隊工作管理平台,Work management for teams
clickup,ClickUp,ClickUp,專案管理,任務與時間整合工具,Unified productivity tool
trello,Trello,Trello,專案管理,看板式任務管理,Kanban task manager
linear,Linear,Linear,專案管理,軟體專案與議題追蹤,Agile project tracker
jira,Jira,Jira,專案管理,敏捷規劃與專案追蹤,Agile project planning and tracking
metabase,Metabase,Metabase,分析,開源數據分析與 BI,Open-source BI analytics
superset,Superset,Superset,分析,數據探索與儀表板,Data exploration and dashboards
hex,Hex,Hex,數據筆記,協作式分析筆記與應用,Collaborative data notebooks
dbdiagram,dbdiagram.io,dbdiagram,資料庫設計,繪製資料庫 ER 圖工具,ER diagram builder
datagrip,DataGrip,DataGrip,資料庫,資料庫管理與 SQL IDE,Database IDE by JetBrains
prisma,Prisma,Prisma,ORM,Node.js 型別安全資料庫客戶端,Type-safe ORM for Node.js
drizzle,Drizzle,Drizzle,ORM,TypeScript ORM for SQL,TypeScript ORM for SQL
livekit,Livekit,Livekit,即時視訊,構建即時音訊視訊應用,Real-time audio/video platform
dyad,Dyad.sh,Dyad,代理部署,AI 代理微服務部署平台,Microservice deployment for AI agents
chainlit,Chainlit,Chainlit,LLM App,Python 對話式 LLM 框架,Python LLM app framework
gradio,Gradio,Gradio,LLM App,建立交互式 ML 網頁介面,Interactive ML web UI builder
huggingface-spaces,HuggingFace Spaces,HuggingFace Spaces,展示,托管 ML Demo 與互動應用,Host ML demos and interactive apps
kaggle,Kaggle,Kaggle,數據科學,競賽、資料集與雲端筆記,ML competitions and datasets
github-copilot,GitHub Copilot,GitHub Copilot,程式輔助,編輯器內 AI 程式助理,AI coding assistant
